Белорусская АЭС-1-СВБУ  АРМ ЦТП-1 (10CKD02)
Имя пользователя: ATE_SMATE, Имя протокола: NVATE_CFDI/JEC 
Создано: 30.01.2020 22:34:01, Выборка: 30.01.20 18:20:00 - 30.01.20 18:50:00
Время	KKS	Знач	Ед.изм	Дост	Описание	
30.01.20 18:09:33,000	10JEC31CT833_XQ01	56.3	°C	дост	Темп хол сп 10JEC31 0-100 ГРАД	
30.01.20 18:11:00,000	10JEC11CT844_XQ01	52.2	°C	дост	Темп хол сп 10JEC11 0-100 ГРАД	
30.01.20 18:11:11,000	10JEC31CT824_XQ01	49.9	°C	дост	Темп хол сп 10JEC31 0-100 ГРАД	
30.01.20 18:11:17,000	10JEC31CT841Y_XQ01	287	°C	дост	Т ТН ГРЧ НТК ПЕТ 0-400 ГРАД	
30.01.20 18:11:40,092	10JEC33CT835_XQ01	284.55	°C	дост	Температура теплоносителя в холодной нитке петли 3 первого контура	
30.01.20 18:11:59,000	10JEC11CT833X_XQ01	59.9	°C	дост	Темп хол сп 0-100 ГРАД	
30.01.20 18:12:05,000	10JEC11CT833Y_XQ01	59.9	°C	дост	Т ХЛДН СПАЕВ 0-100 ГРАД	
30.01.20 18:12:11,000	10JEC31CT823_XQ01	58.2	°C	дост	Темп хол сп 10JEC31 0-100 ГРАД	
30.01.20 18:12:21,696	10JEC43CT815_XQ01	284.68	°C	дост	Температура теплоносителя в холодной нитке петли 4 первого контура	
30.01.20 18:12:33,697	10JEC33CT815_XQ01	284.50	°C	дост	Температура теплоносителя в холодной нитке петли 3 первого контура	
30.01.20 18:12:34,591	10JEC11CT835_XQ01	284.52	°C	дост	Температура теплоносителя в горячей нитке петли 1 первого контура	
30.01.20 18:12:39,300	10JEC31CT835_XQ01	284.49	°C	дост	Температура теплоносителя в горячей нитке петли 3 первого контура	
30.01.20 18:12:43,000	10JEC31CT822V_XQ01	287	°C	дост	Темп тепл гор петл3 0-400 ГРАД	
30.01.20 18:12:43,298	10JEC41CT815_XQ01	284.37	°C	дост	Температура теплоносителя в горячей нитке петли 4 первого контура	
30.01.20 18:12:48,099	10JEC41CT845_XQ01	284.64	°C	дост	Температура теплоносителя в горячей нитке петли 4 первого контура	
30.01.20 18:12:50,000	10JEC31CT834V_XQ01	50.1	°C	дост	Темп хол сп 0-100 ГРАД	
30.01.20 18:12:52,000	10JEC11CT843Y_XQ01	59.9	°C	дост	Т ХЛДН СПАЕВ 0-100 ГРАД	
30.01.20 18:12:54,000	10JEC41CT942B_XQ01	287	°C	дост	МО Темп тепл гор петл4 0-400 ГРАД	
30.01.20 18:13:00,100	10JEC11CT845_XQ01	285.13	°C	дост	Температура теплоносителя в горячей нитке петли 1 первого контура	
30.01.20 18:13:00,100	10JEC41CT835_XQ01	284.39	°C	дост	Температура теплоносителя в горячей нитке петли 4 первого контура	
30.01.20 18:13:01,698	10JEC43CT825_XQ01	284.61	°C	дост	Температура теплоносителя в холодной нитке петли 4 первого контура	
30.01.20 18:13:20,153	10JEC11CT815_XQ01	284.40	°C	дост	Температура теплоносителя в горячей нитке петли 1 первого контура	
30.01.20 18:13:21,705	10JEC23CT825_XQ01	284.66	°C	дост	Температура теплоносителя в холодной нитке петли 2 первого контура	
30.01.20 18:13:27,000	10JEC41CT822V_XQ01	287	°C	дост	Темп тепл гор петл4 0-400 ГРАД	
30.01.20 18:13:29,000	10JEC41CT811Y_XQ01	287	°C	дост	Т ТН ГРЧ НТК ПЕТ 0-400 ГРАД	
30.01.20 18:13:29,702	10JEC43CT835_XQ01	284.42	°C	дост	Температура теплоносителя в холодной нитке петли 4 первого контура	
30.01.20 18:13:36,151	10JEC23CT845_XQ01	284.46	°C	дост	Температура теплоносителя в холодной нитке петли 2 первого контура	
30.01.20 18:13:38,000	10JEC31CT843_XQ01	56.9	°C	дост	Темп хол сп 10JEC31 0-100 ГРАД	
30.01.20 18:13:39,000	10JEC31CT843Y_XQ01	56.9	°C	дост	Т ХЛДН СПАЕВ 0-100 ГРАД	
30.01.20 18:13:39,304	10JEC21CT835_XQ01	284.38	°C	дост	Температура теплоносителя в горячей нитке петли 2 первого контура	
30.01.20 18:13:40,000	10JEC11CT834_XQ01	52.6	°C	дост	Темп хол сп 10JEC11 0-100 ГРАД	
30.01.20 18:13:40,153	10JEC21CT845_XQ01	284.61	°C	дост	Температура теплоносителя в горячей нитке петли 2 первого контура	
30.01.20 18:13:42,000	10JEC21CT821X_XQ01	287	°C	дост	Темп тепл гор петл2 0-400 ГРАД	
30.01.20 18:13:47,000	10JEC11CT843X_XQ01	59.9	°C	дост	Темп хол сп 0-100 ГРАД	
30.01.20 18:13:51,000	10JEC11CT841Y_XQ01	287	°C	дост	Т ТН ГРЧ НТК ПЕТ 0-400 ГРАД	
30.01.20 18:13:53,754	10JEC33CT825_XQ01	284.61	°C	дост	Температура теплоносителя в холодной нитке петли 3 первого контура	
30.01.20 18:13:56,000	10JEC41CT911_XQ01	287	°C	дост	2V3Т ТН ГРЧ НТК ПЕТ 0-400 ГРАД	
30.01.20 18:13:56,905	10JEC43CT845_XQ01	284.35	°C	дост	Температура теплоносителя в холодной нитке петли 4 первого контура	
30.01.20 18:13:57,756	10JEC13CT845_XQ01	284.43	°C	дост	Температура теплоносителя в холодной нитке петли 1 первого контура	
30.01.20 18:13:57,756	10JEC23CT815_XQ01	284.66	°C	дост	Температура теплоносителя в холодной нитке петли 2 первого контура	
30.01.20 18:13:57,756	10JEC31CT845_XQ01	284.82	°C	дост	Температура теплоносителя в горячей нитке петли 3 первого контура	
30.01.20 18:14:04,000	10JEC33CT901_XQ01	287	°C	дост	2V3Т ТН ХЛД НТК ПЕТ 0-400 ГРАД	
30.01.20 18:14:05,757	10JEC11CT825_XQ01	284.38	°C	дост	Температура теплоносителя в горячей нитке петли 1 первого контура	
30.01.20 18:14:15,000	10JEC31CT813_XQ01	58.4	°C	дост	Темп хол сп 10JEC31 0-100 ГРАД	
30.01.20 18:14:20,107	10JEC13CT815_XQ01	284.35	°C	дост	Температура теплоносителя в холодной нитке петли 1 первого контура	
30.01.20 18:14:25,000	10JEC11CT843_XQ01	59.9	°C	дост	Темп хол сп 10JEC11 0-100 ГРАД	
30.01.20 18:14:25,811	10JEC13CT835_XQ01	284.44	°C	дост	Температура теплоносителя в холодной нитке петли 1 первого контура	
30.01.20 18:14:31,000	10JEC11CT831X_XQ01	287	°C	дост	Темп тепл гор петл1 0-400 ГРАД	
30.01.20 18:14:32,000	10JEC13CT901_XQ01	287	°C	дост	2V3Т ТН ХЛД НТК ПЕТ 0-400 ГРАД	
30.01.20 18:14:32,111	10JEC31CT815_XQ01	284.37	°C	дост	Температура теплоносителя в горячей нитке петли 3 первого контура	
30.01.20 18:14:36,110	10JEC13CT825_XQ01	284.61	°C	дост	Температура теплоносителя в холодной нитке петли 1 первого контура	
30.01.20 18:14:39,308	10JEC33CT845_XQ01	284.34	°C	дост	Температура теплоносителя в холодной нитке петли 3 первого контура	
30.01.20 18:14:40,000	10JEC41CT941A_XQ01	287	°C	дост	МО Темп тепл гор петл4 0-400 ГРАД	
30.01.20 18:14:44,109	10JEC21CT825_XQ01	284.34	°C	дост	Температура теплоносителя в горячей нитке петли 2 первого контура	
30.01.20 18:14:49,708	10JEC41CT825_XQ01	284.36	°C	дост	Температура теплоносителя в горячей нитке петли 4 первого контура	
30.01.20 18:15:07,412	10JEC23CT835_XQ01	284.40	°C	дост	Температура теплоносителя в холодной нитке петли 2 первого контура	
30.01.20 18:15:20,116	10JEC31CT825_XQ01	284.32	°C	дост	Температура теплоносителя в горячей нитке петли 3 первого контура	
30.01.20 18:15:31,000	10JEC21CT811X_XQ01	287	°C	дост	Темп тепл гор петл2 0-400 ГРАД	
30.01.20 18:15:34,000	10JEC11CT811X_XQ01	287	°C	дост	Темп тепл гор петл1 0-400 ГРАД	
30.01.20 18:15:40,000	10JEC13CT003_XQ01	287	°C	дост	Т ТН ХЛД НТК ПЕТ 0-400 ГРАД	
30.01.20 18:15:48,000	10JEC31CT942B_XQ01	287	°C	дост	МО Темп тепл гор петл3 0-400 ГРАД	
30.01.20 18:15:57,718	10JEC21CT815_XQ01	284.31	°C	дост	Температура теплоносителя в горячей нитке петли 2 первого контура	
30.01.20 18:16:00,000	10JEC41CT842_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:16:31,000	10JEC33CT005_XQ01	42.5	°C	дост	Т ХЛДН СПАЕВ 0-100 ГРАД	
30.01.20 18:16:51,000	10JEC11CT811_XQ01	288	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:16:51,000	10JEC21CT811_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:16:51,000	10JEC31CT811_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:16:51,000	10JEC41CT811_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:17:24,000	10JEC11CT844V_XQ01	52.2	°C	дост	Темп хол сп 0-100 ГРАД	
30.01.20 18:17:25,000	10JEC11CT832_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:17:25,000	10JEC21CT832_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:17:25,000	10JEC31CT832_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:17:35,000	10JEC31CT834_XQ01	50.1	°C	дост	Темп хол сп 10JEC31 0-100 ГРАД	
30.01.20 18:17:43,000	10JEC11CT842_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:17:43,000	10JEC21CT842_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:17:43,000	10JEC31CT842_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:17:58,000	10JEC11CT822_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:17:58,000	10JEC21CT822_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:17:58,000	10JEC31CT822_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:18:01,000	10JEC31CT813Y_XQ01	58.4	°C	дост	Т ХЛДН СПАЕВ 0-100 ГРАД	
30.01.20 18:18:08,000	10JEC31CT813X_XQ01	58.4	°C	дост	Темп хол сп 0-100 ГРАД	
30.01.20 18:18:26,000	10JEC31CT823X_XQ01	58.2	°C	дост	Темп хол сп 0-100 ГРАД	
30.01.20 18:18:36,000	10JEC31CT843X_XQ01	57.0	°C	дост	Темп хол сп 0-100 ГРАД	
30.01.20 18:18:45,000	10JEC31CT823Y_XQ01	58.2	°C	дост	Т ХЛДН СПАЕВ 0-100 ГРАД	
30.01.20 18:18:49,000	10JEC31CT833Y_XQ01	56.3	°C	дост	Т ХЛДН СПАЕВ 0-100 ГРАД	
30.01.20 18:19:10,000	10JEC31CT833X_XQ01	56.3	°C	дост	Темп хол сп 0-100 ГРАД	
30.01.20 18:19:18,000	10JEC41CT831_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:19:19,000	10JEC41CT822_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:19:27,000	10JEC11CT824_XQ01	53.2	°C	дост	Темп хол сп 10JEC11 0-100 ГРАД	
30.01.20 18:19:34,000	10JEC11CT841_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:19:34,000	10JEC21CT841_XQ01	288  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:19:34,000	10JEC31CT841_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:19:34,000	10JEC41CT841_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:19:48,000	10JEC11CT821_XQ01	288	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:19:48,000	10JEC21CT821_XQ01	288	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:19:48,000	10JEC31CT821_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:19:48,000	10JEC41CT821_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:19:49,000	10JEC41CT812_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:19:50,000	10JEC11CT812_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:19:50,000	10JEC21CT812_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:19:50,000	10JEC31CT812_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:19:54,000	10JEC11CT814_XQ01	52.7	°C	дост	Темп хол сп 10JEC11 0-100 ГРАД	
30.01.20 18:19:55,000	10JEC41CT832_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:01,000	10JEC41CT821_XQ01	291	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:02,000	10JEC41CT821_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:04,000	10JEC11CT841_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:04,000	10JEC21CT841_XQ01	288	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:04,000	10JEC31CT841_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:04,000	10JEC41CT841_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:04,000	10JEC41CT842_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:05,000	10JEC41CT842_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
